0	 1
1	 1.34907566301
2	 1.8200051445258710822601
3	 2.455324647032850402397830657
4	 3.312418726100636885864998687
5	 4.468703489080956298781584801
6	 6.028619122326991414343602171
7	 8.133063339488050236324172722
8	 10.97211781702216608654122050
9	 14.80221711862301257706693408
10	 19.96931087332431251065014282
11	 26.94011130628279902305777911
12	 36.34424852208666427059025363
13	 49.03114117153427922952582447
14	 66.14671928412451589051502361
15	 89.23692917416663384239183605
16	 120.3873693906152633151446701
17	 162.4116701786740660287045263
18	 219.1056316268561607903670766
19	 295.5900752562258000401676294
20	 398.7733767554686168194568293
21	 537.9754576371203468789563595
22	 725.7695971949062999528892348
23	 979.1181005282188528037699763
24	 1320.904400635198680060627578
25	 1781.999980059757324445868017
26	 2404.052804582923891896513076
27	 3243.249131253758015984657944
28	 4375.388472052770107968604594
29	 5902.730103860901689114854527
30	 7963.229528435232107059051271
31	 10742.99915577457040267392889
32	 14493.11870879244883608525330
33	 19552.31373114680803002321591
34	 26377.55061022640693074876199
35	 35585.31157807102001630994523
36	 48007.27781060359070537032038
37	 64765.45014164530033913413854
38	 87373.49258998123196726796579
39	 117873.4524453282525996986376
40	 159020.2060089589181530231956
41	 214530.2898535230385071420923
42	 289417.5930198690689583324787
43	 390446.2311900382123083537988
44	 526741.5082124565425771275437
45	 710614.1494266071701180506351
46	 958672.2547819872793618290205
47	 1293321.407729301131910445575
48	 1744788.435617433463136027833
49	 2353851.615592769747994797142
50	 3175523.928932975501938351573
51	 4284022.049829374047129569188
52	 5779469.887223022050004610540
53	 7796942.169951728399845819337
